Afghanistan;63.30;8.52;5;Asia
Angola;61.19;6.67;44;Africa
Argentina;76.29;6.62;91;South America
Australia;82.45;6.06;95;Australia
Azerbaijan;71.85;4.96;75;Asia
Burundi;57.07;1.62;84;Africa
Benin;60.58;1.02;95;Africa
Bangladesh;72.22;4.12;17;Asia
Belarus;73.62;0.51;92;Europe
Belize;70.31;9.97;35;North America
Bolivia;68.75;3.50;68;South America
Brazil;75.20;8.52;89;South America
Botswana;65.75;17.86;95;Africa
Chile;79.16;6.21;38;South America
Cameroon;57.56;4.37;74;Africa
Colombia;74.16;8.95;95;South America
Cuba;79.54;2.91;63;North America
Djibouti;62.25;6.60;35;Africa
Algeria;75.86;11.00;49;Africa
Ecuador;76.08;4.77;95;South America
Eritrea;64.62;7.18;37;Africa
Spain;83.38;22.06;95;Europe
Ethiopia;65.01;5.27;69;Africa
France;82.67;10.36;95;Europe
Gabon;65.68;19.11;76;Africa
Georgia;72.97;11.96;46;Europe
Ghana;62.41;5.54;56;Africa
Guinea;59.40;6.90;43;Africa
Guinea-Bissau;56.95;6.55;85;Africa
Guatemala;73.04;2.42;19;North America
Guyana;66.54;11.60;66;South America
Honduras;73.32;7.38;54;North America
Haiti;63.01;13.49;71;North America
Indonesia;69.04;5.99;14;Asia
Ireland;81.50;9.40;95;Europe
Italy;83.49;11.90;58;Europe
Jamaica;75.81;13.31;95;North America
Kazakhstan;72.00;4.97;87;Asia
Kenya;66.65;11.29;80;Africa
Cambodia;68.47;0.18;75;Asia
Liberia;61.98;3.87;70;Africa
Lesotho;53.57;26.52;66;Africa
Luxembourg;82.23;6.67;56;Europe
Latvia;74.12;9.87;95;Europe
Morocco;75.52;9.70;62;Africa
Moldova;71.37;4.90;95;Europe
Madagascar;65.51;1.80;3;Africa
Mexico;76.88;4.34;58;North America
Mali;57.46;8.14;35;Africa
Myanmar;66.39;0.80;87;Asia
Mozambique;57.61;24.67;80;Africa
Mauritania;63.05;11.12;34;Africa
Malawi;62.54;6.64;84;Africa
Malaysia;75.22;3.10;73;Asia
Namibia;63.64;26.94;95;Africa
Niger;59.68;2.59;52;Africa
Nigeria;52.98;4.28;32;Africa
Nicaragua;75.04;5.61;95;North America
Netherlands;81.71;6.87;95;Europe
Nepal;69.87;3.03;64;Asia
Pakistan;66.33;5.90;4;Asia
Peru;74.71;4.42;85;South America
Philippines;69.01;6.29;12;Asia
Paraguay;73.04;5.29;71;North America
Romania;74.96;6.81;95;Europe
Rwanda;66.62;2.80;82;Africa
Sudan;64.23;13.18;4;Africa
Senegal;66.66;9.78;55;Africa
Somalia;55.87;6.67;7;Africa
Suriname;71.29;8.39;89;South America
Sweden;82.55;7.43;95;Europe
Swaziland;56.91;25.75;95;Africa
Chad;52.55;5.78;63;Africa
Togo;59.92;6.81;86;Africa
Thailand;75.07;0.67;95;Asia
Tajikistan;71.01;10.78;85;Asia
Tanzania;64.90;2.43;84;Africa
Uganda;59.51;2.15;95;Africa
Ukraine;71.19;9.14;84;Europe
Uruguay;77.13;7.30;83;South America
Vietnam;75.89;2.12;66;Asia
Zambia;61.34;7.63;83;Africa
Zimbabwe;60.28;5.11;93;Africa
