Country Name;Life expectancy at birth, total (years);Unemployment, total (% of total labor force) (modeled ILO estimate);;;
Afghanistan;63,29819512;8,515999794;;;
Angola;61,18934146;6,671000004;;;
Albania;78,20314634;17,07999992;;;
United Arab Emirates;77,4842439;3,805000067;;;
Argentina;76,29302439;6,622000217;;;
Armenia;74,20619512;17,0340004;;;
Australia;82,45121951;6,059999943;;;
Austria;81,84390244;5,72300005;;;
Azerbaijan;71,84519512;4,960000038;;;
Burundi;57,06934146;1,61500001;;;
Belgium;81,28780488;8,482000351;;;
Benin;60,58468293;1,019999981;;;
Burkina Faso;59,84465854;3,084000111;;;
Bangladesh;72,22160976;4,123000145;;;
Bulgaria;74,46585366;9,142999649;;; 
Bahrain;76,86519512;1,230000019;;;
Bahamas, The;75,36878049;16,07799911;;;
Bosnia and Herzegovina;76,64029268;26,26000023;;;
Belarus;73,62439024;0,510999978;;;
Belize;70,31097561;9,970000267;;;
Bolivia;68,74980488;3,503000021;;;
Brazil;75,19912195;8,520999908;;;
Barbados;75,63790244;11,35000038;;;
Brunei Darussalam;77,0667561;1,860000014;;;
Bhutan;69,80712195;2,450000048;;;
Botswana;65,75109756;17,8560009;;;
Central African Republic;51,37785366;6,764999866;;;
Canada;82,12902439;6,900000095;;;
Central Europe and the Baltics;77,0269071;7,813039693;;;
Switzerland;83,19756098;4,548999786;;;
Channel Islands;80,88526829;8,847000122;;;
Chile;79,16068293;6,212999821;;;
China;76,11709756;4,585000038;;;
Cote d'Ivoire;53,0782439;9,340000153;;;
Cameroon;57,5575122;4,366000175;;;
Congo, Dem. Rep.;59,17321951;3,665999889;;;
Congo, Rep.;64,09073171;10,61800003;;;
Colombia;74,15619512;8,953000069;;;
Comoros;63,46068293;19,87899971;;;
Cabo Verde;72,43517073;10,46500015;;;
Costa Rica;79,60890244;9,612999916;;;
Caribbean small states;73,04810113;11,05303457;;;
Cuba;79,54370732;2,907000065;;;
Cyprus;80,29104878;14,90799999;;;
Czech Republic;79,47317073;5,046000004;;;
Germany;81,0902439;4,624000072;;;
Djibouti;62,24982927;6,598999977;;;
Denmark;81,1;6,168000221;;;
Dominican Republic;73,70368293;14,39700031;;;
Algeria;75,85529268;11,0010004;;;
Ecuador;76,0815122;4,769999981;;;
Egypt, Arab Rep.;71,29565854;12,84000015;;;
Eritrea;64,62439024;7,184000015;;;
Spain;83,3804878;22,05699921;;;
Estonia;77,13170732;6,186999798;;;
Ethiopia;65,00829268;5,274000168;;;
Finland;81,38536585;9,376000404;;;
Fiji;70,22426829;8,220000267;;;
France;82,67073171;10,35900021;;;
Gabon;65,68441463;19,11000061;;;
United Kingdom;81,60487805;5,301000118;;;
Georgia;72,96612195;11,96000004;;;
Ghana;62,4072439;5,537000179;;;
Guinea;59,39895122;6,90199995;;;
Gambia, The;60,95743902;29,57299995;;;
Guinea-Bissau;56,95039024;6,545000076;;;
Equatorial Guinea;57,50839024;6,955999851;;;
Greece;81,58780488;24,89699936;;;
Guatemala;73,04297561;2,420000076;;;
Guam;79,37763415;11,07999992;;;
Guyana;66,53936585;11,60200024;;;
Hong Kong SAR, China;84,27804878;3,279999971;;;
Honduras;73,32460976;7,380000114;;;
Croatia;77,27560976;16,27700043;;;
Haiti;63,01078049;13,48999977;;;
Hungary;75,96097561;6,813000202;;;
Indonesia;69,03863415;5,989999771;;;
India;68,33260976;3,49000001;;;
Ireland;81,50243902;9,395999908;;;
Iran, Islamic Rep.;75,74263415;11,06000042;;;
Iraq;69,63460976;15,47799969;;;
Iceland;82,86097561;3,979000092;;;
Israel;82,05121951;5,250999928;;;
Italy;83,4902439;11,89599991;;;
Jamaica;75,80668293;13,30799961;;;
Jordan;74,19102439;13,10299969;;;
Japan;83,84365854;3,400000095;;;
Kazakhstan;72;4,971000195;;;
Kenya;66,64565854;11,28999996;;;
Kyrgyz Republic;70,65121951;7,559999943;;;
Cambodia;68,47204878;0,179000005;;;
Korea, Rep.;82,15585366;3,599999905;;;
Kuwait;74,74682927;2,779000044;;;
Latin America & Caribbean (excluding high income);75,13039619;6,977364148;;;
Lao PDR;66,28404878;1,417999983;;;
Lebanon;79,4982439;6,538000107;;;
