Country	Life_expectancy	Unemployment	Continent		
Afghanistan	63,29819512	8,515999794	Asia		
Angola	61,18934146	6,671000004	Africa		
Albania	78,20314634	17,07999992	Europe		
United_Arab_Emirates	77,4842439	3,805000067	Africa		
Argentina	76,29302439	6,622000217	South America		
Armenia	74,20619512	17,0340004	Asia		
Australia	82,45121951	6,059999943	Australia		
Austria	81,84390244	5,72300005	Europe		
Azerbaijan	71,84519512	4,960000038	Asia		
Burundi	57,06934146	1,61500001	Africa		
Belgium	81,28780488	8,482000351	Europa		
Benin	60,58468293	1,019999981	Africa		
Burkina_Faso	59,84465854	3,084000111	Africa		
Bangladesh	72,22160976	4,123000145	Asia		
Bulgaria	74,46585366	9,142999649	Europe		 
Bahrain	76,86519512	1,230000019	Asia		
Bahamas	75,36878049	16,07799911	North America		
Bosnia_and_Herzegovina	76,64029268	26,26000023	Europe		
Belarus	73,62439024	0,510999978	Europe		
Belize	70,31097561	9,970000267	North America		
Bolivia	68,74980488	3,503000021	South America		
Brazil	75,19912195	8,520999908	South America		
Barbados	75,63790244	11,35000038	North America		
Brunei_Darussalam	77,0667561	1,860000014	Asia		
Bhutan	69,80712195	2,450000048	Asia		
Botswana	65,75109756	17,8560009	Africa		
Central_African_Republic	51,37785366	6,764999866	Africa		
Canada	82,12902439	6,900000095	North America		
Switzerland	83,19756098	4,548999786	Europe		
Chile	79,16068293	6,212999821	South America		
China	76,11709756	4,585000038	Asia		
Cameroon	57,5575122	4,366000175	Africa		
Congo_Dem_Rep.	59,17321951	3,665999889	Africa		
Congo_Rep.	64,09073171	10,61800003	Africa		
Colombia	74,15619512	8,953000069	South America		
Comoros	63,46068293	19,87899971	Africa		
Cabo_Verde	72,43517073	10,46500015	Africa		
Costa_Rica	79,60890244	9,612999916	South America		
Cuba	79,54370732	2,907000065	North America		
Cyprus	80,29104878	14,90799999	Europe		
Czech_Republic	79,47317073	5,046000004	Europe		
Germany	81,0902439	4,624000072	Europe		
Djibouti	62,24982927	6,598999977	Africa		
Denmark	81,1	6,168000221	Europe		
Dominican_Republic	73,70368293	14,39700031	North America		
Algeria	75,85529268	11,0010004	Africa		
Ecuador	76,0815122	4,769999981	South America		
Egypt	71,29565854	12,84000015	Africa		
Eritrea	64,62439024	7,184000015	Africa		
Spain	83,3804878	22,05699921	Europe		
Estonia	77,13170732	6,186999798	Europe		
Ethiopia	65,00829268	5,274000168	Africa		
Finland	81,38536585	9,376000404	Europe		
Fiji	70,22426829	8,220000267	Oceania		
France	82,67073171	10,35900021	Europe		
Gabon	65,68441463	19,11000061	Africa		
United_Kingdom	81,60487805	5,301000118	Europe		
Georgia	72,96612195	11,96000004	Europe		
Ghana	62,4072439	5,537000179	Africa		
Guinea	59,39895122	6,90199995	Africa		
Gambia	60,95743902	29,57299995	Africa		
Guinea-Bissau	56,95039024	6,545000076	Africa		
Equatorial_Guinea	57,50839024	6,955999851	Africa		
Greece	81,58780488	24,89699936	Africa		
Guatemala	73,04297561	2,420000076	North America		
Guam	79,37763415	11,07999992	Oceania		
Guyana	66,53936585	11,60200024	South America		
Hong_Kong	84,27804878	3,279999971	Asia		
Honduras	73,32460976	7,380000114	North America		
Croatia	77,27560976	16,27700043	Europe		
Haiti	63,01078049	13,48999977	North America		
Hungary	75,96097561	6,813000202	Europe		
Indonesia	69,03863415	5,989999771	Asia		
India	68,33260976	3,49000001	Asia		
Ireland	81,50243902	9,395999908	Europe		
Iran	75,74263415	11,06000042	Asia		
Iraq	69,63460976	15,47799969	Asia		
Iceland	82,86097561	3,979000092	Europe		
Israel	82,05121951	5,250999928	Asia		
Italy	83,4902439	11,89599991	Europe		
Jamaica	75,80668293	13,30799961	North America		
Jordan	74,19102439	13,10299969	Asia		
Japan	83,84365854	3,400000095	Asia		
Kazakhstan	72	4,971000195	Asia		
Kenya	66,64565854	11,28999996	Africa		
Kyrgyz_Republic	70,65121951	7,559999943	Asia		
Cambodia	68,47204878	0,179000005	Asia		
Korea	82,15585366	3,599999905	Asia		
Kuwait	74,74682927	2,779000044	Asia		
Lao_PDR	66,28404878	1,417999983	Asia		
Lebanon	79,4982439	6,538000107	Asia		
Liberia	61,98021951	3,871000051	Africa		
Libya	71,83039024	19,21999931	Africa		
St.Lucia	75,2835122	20,56500053	North America		
Sri_Lanka	74,98895122	4,659999847	Asia		
Lesotho	53,57009756	26,52000046	Africa		
Lithuania	75,1195122	9,119999886	Europe		
Luxembourg	82,22926829	6,669000149	Europe		
Latvia	74,12439024	9,873000145	Europe		
Morocco	75,52014634	9,699999809	Africa		
Moldova	71,37121951	4,900000095	Europe		
Madagascar	65,50782927	1,799999952	Africa		
Maldives	77,12026829	3,867000103	Asia		
Mexico	76,88136585	4,335999966	North America		
Macedonia	75,52431707	26,06800079	Europe		
Mali	57,45770732	8,137999535	Africa		
Malta	81,94634146	5,390999794	Europe		
Myanmar	66,38563415	0,800000012	Asia		
Montenegro	76,86431707	17,52000046	Europe		
Mongolia	69,11587805	7,449999809	Asia		
Mozambique	57,60926829	24,66900063	Africa		
Mauritania	63,04636585	11,11800003	Africa		
Mauritius	74,35317073	7,920000076	Africa		
Malawi	62,54336585	6,637000084	Africa		
Malaysia	75,22019512	3,099999905	Asia		
Namibia	63,63643902	26,93700027	Africa		
New_Caledonia	77,77317073	14,53999996	Oceania		
Niger	59,68187805	2,59100008	Africa		
Nigeria	52,97792683	4,275000095	Africa		
Nicaragua	75,038	5,610000134	North America		
Netherlands	81,70731707	6,872000217	Europe		
Norway	82,1	4,296000004	Europe		
Nepal	69,86985366	3,032000065	Asia		
New_Zealand	81,45682927	5,364999771	Oceania		
Oman	77,12182927	17,25200081	Asia		
Pakistan	66,33217073	5,900000095	Asia		
Panama	77,81743902	5,346000195	North America		
Peru	74,71341463	4,422999859	South America		
Philippines	69,00985366	6,289999962	Asia		
Papua_New_Guinea	65,38770732	2,483999968	Oceania		
Poland	78,20487805	7,500999928	Europe		
Puerto_Rico	79,59612195	12,02999973	North America		
Portugal	81,52195122	12,44400024	Europe		
Paraguay	73,04297561	5,289999962	North America		
French_Polynesia	76,6915122	19,29400063	Oceania		
Qatar	78,46270732	0,164000005	Asia		
Romania	74,96097561	6,811999798	Europe		
Russian_Federation	70,90853659	5,566999912	Asia		
Rwanda	66,62087805	2,799999952	Africa		
Saudi_Arabia	74,5744878	5,590000153	Asia		
Sudan	64,22941463	13,17800045	Africa		
Senegal	66,66143902	9,784999847	Africa		
Singapore	82,59512195	1,690000057	Asia		
Solomon_Islands	70,47668293	31,40399933	Oceania		
Sierra_Leone	51,41285366	2,970000029	Africa		
El_Salvador	73,00309756	6,175000191	North America		
Somalia	55,87285366	6,665999889	Africa		
Serbia	75,48780488	17,65999985	Europe		
Sao_Tome_and_Principe	66,41665854	13,55500031	Africa		
Suriname	71,28619512	8,385000229	South America		
Slovak_Republic	77,21219512	11,48099995	Europe		
Slovenia	81,07804878	8,961999893	Europe		
Sweden	82,55121951	7,43200016	Europe		
Swaziland	56,91236585	25,75300026	Africa		
Syrian_Arab_Republic	70,25265854	14,5369997	Asia		
Chad	52,55395122	5,78399992	Africa		
Togo	59,92370732	6,81099987	Africa		
Thailand	75,068	0,666000009	Asia		
Tajikistan	71,00712195	10,78299999	Asia		
Turkmenistan	67,64104878	8,715999603	Asia		
Timor-Leste	68,58002439	3,634000063	Asia		
Tonga	72,84017073	4,954999924	Oceania		
Trinidad_and_Tobago	70,58885366	3,390000105	North America		
Tunisia	75,49704878	15,15499973	Africa		
Turkey	75,40709756	10,23600006	Asia		
Tanzania	64,90331707	2,426000118	Africa		
Uganda	59,5087561	2,147000074	Africa		
Ukraine	71,1895122	9,140000343	Europe		
Uruguay	77,13163415	7,296999931	South America		
United_States	78,74146341	5,300000191	North America		
Uzbekistan	71,14568293	8,918000221	Asia		
St.Vincent_and_the_Grenadines	73,06495122	19,04199982	North America		
Venezuela	74,3915122	6,820000172	South America		
Virgin_Islands	79,87317073	9,208000183	North America		
Vietnam	75,89119512	2,119999886	Asia		
Vanuatu	71,98490244	5,278999805	Oceania		
Samoa	74,83870732	7,729000092	Oceania		
Yemen	64,72568293	18,11199951	Africa		
Zambia	61,33958537	7,626999855	Africa		
Zimbabwe	60,27934146	5,114999771	Africa		
