Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,9.9,"Short, Comedy, Fantasy","George Miller,Artemis Holdenberry,Zeeq,Bloody Hairy"
Game of Thrones,9.5,"Adventure, Drama, Fantasy","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey"
Breaking Bad,9.5,"Crime, Drama, Thriller","Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt"
Rick and Morty,9.3,"Animation, Adventure, Comedy","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke"
The Wire,9.3,"Crime, Drama, Thriller","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce"
TVF Pitchers,9.3,"Comedy, Drama","Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan"
Sherlock,9.2,"Crime, Drama, Mystery","Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves"
The Sopranos,9.2,"Crime, Drama","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli"
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure","Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena"
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama","Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant"
True Detective,9.1,"Crime, Drama, Mystery","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch"
Firefly,9.1,"Adventure, Drama, Sci-Fi","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin"
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show","John Oliver,David Kaye,Noel MacNeal,Alberto Bonilla"
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure","Kent Williams,Iemasa Kayumi,Muriel Hofmann,Lili Troncale"
Sarabhai vs Sarabhai,9.1,Comedy,"Satish Shah,Ratna Pathak Shah,Sumeet Raghvan,Rupali Ganguly"
Westworld,9.0,"Drama, Mystery, Sci-Fi","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton"
Death Note: Desu nto,9.0,"Animation, Crime, Drama","Mamoru Miyano,Brad Swaile,Vincent Tong,Ry Nait"
House of Cards,9.0,Drama,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara"
Fargo,9.0,"Crime, Drama, Thriller","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks"
The Twilight Zone,9.0,"Fantasy, Horror, Mystery","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor"
One Punch Man: Wanpanman,9.0,"Animation, Action, Comedy","Makoto Furukawa,Max Mittelman,Kaito Ishikawa,Zach Aguilar"
Batman: The Animated Series,9.0,"Animation, Action, Adventure","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Robert Hastings"
